lx/ly	1	2A	2B	3	4A	4B	5A	5B	6
1	4,76	3,26	3,26	2,46	2,25	2,25	1,84	1,84	1,49
1,05	5,26	3,68	3,48	2,72	2,6	2,35	2,08	1,96	1,63
1,1	5,74	4,11	3,7	2,96	2,97	2,45	2,31	2,08	1,77
1,15	6,2	4,55	3,89	3,18	3,35	2,53	2,54	2,18	1,9
1,2	6,64	5	4,09	3,4	3,74	2,61	2,77	2,28	2,02
1,25	7,08	5,44	4,26	3,61	4,14	2,68	3	2,37	2,14
1,3	7,49	5,88	4,43	3,8	4,56	2,74	3,22	2,46	2,24
1,35	7,9	6,32	4,58	3,99	5,01	2,77	3,42	2,53	2,34
1,4	8,29	6,74	4,73	4,15	5,41	2,8	3,62	2,61	2,41
1,45	8,67	7,15	4,87	4,31	5,83	2,85	3,8	2,67	2,49
1,5	9,03	7,55	5,01	4,46	6,25	2,89	3,98	2,73	2,56
1,55	9,39	7,95	5,09	4,61	6,66	2,91	4,14	2,78	2,62
1,6	9,71	8,32	5,18	4,73	7,06	2,92	4,3	2,82	2,68
1,65	10,04	8,68	5,22	4,86	7,46	2,92	4,45	2,83	2,73
1,7	10,34	9,03	5,26	4,97	7,84	2,93	4,59	2,84	2,77
1,75	10,62	9,36	5,36	5,06	8,21	2,93	4,71	2,86	2,81
1,8	10,91	9,69	5,46	5,16	8,58	2,94	4,84	2,88	2,85
1,85	11,16	10	5,53	5,25	8,93	2,94	4,96	2,9	2,88
1,9	11,41	10,29	5,6	5,33	9,25	2,95	5,07	2,92	2,9
1,95	11,65	10,58	5,68	5,41	9,58	2,95	5,17	2,94	2,93
2	11,89	10,87	5,76	5,49	9,9	2,96	5,28	2,96	2,96
2,1	15,63	15,63	6,5	6,5	15,63	3,13	6,5	3,13	3,13