Î»	cx	cy	kx
0,50	0,0059	0,0236	0,0590
0,51	0,0063	0,0243	0,0630
0,52	0,0067	0,0249	0,0680
0,53	0,0072	0,0255	0,0730
0,54	0,0076	0,0259	0,0780
0,55	0,0081	0,0266	0,0840
0,56	0,0085	0,0272	0,0890
0,57	0,0090	0,0277	0,0950
0,58	0,0095	0,0283	0,1020
0,59	0,0100	0,0288	0,1080
0,60	0,0105	0,0292	0,1150
0,61	0,0109	0,0297	0,1220
0,62	0,0116	0,0302	0,1290
0,63	0,0122	0,0306	0,1360
0,64	0,0127	0,0310	0,1440
0,65	0,0133	0,0314	0,1510
0,66	0,0139	0,0318	0,1590
0,67	0,0144	0,0321	0,1680
0,68	0,0150	0,0325	0,1760
0,69	0,0156	0,0328	0,1850
0,70	0,0162	0,0331	0,1940
0,71	0,0168	0,0334	0,2030
0,72	0,0175	0,0336	0,2120
0,73	0,0181	0,0339	0,2210
0,74	0,0187	0,0342	0,2310
0,75	0,0193	0,0344	0,2400
0,76	0,0200	0,0346	0,2500
0,77	0,0206	0,0348	0,2600
0,78	0,0213	0,0349	0,2700
0,79	0,0219	0,0351	0,2800
0,80	0,0226	0,0353	0,2900
0,81	0,0232	0,0354	0,3010
0,82	0,0239	0,0355	0,3110
0,83	0,0246	0,0357	0,3220
0,84	0,0252	0,0358	0,3320
0,85	0,0259	0,0359	0,3430
0,86	0,0266	0,0360	0,3540
0,87	0,0273	0,0360	0,3640
0,88	0,0279	0,0361	0,3750
0,89	0,0286	0,0362	0,3850
0,90	0,0293	0,0362	0,3960
0,91	0,0300	0,0363	0,4070
0,92	0,0307	0,0363	0,4170
0,93	0,0314	0,0364	0,4280
0,94	0,0321	0,0364	0,4380
0,95	0,0329	0,0364	0,4490
0,96	0,0336	0,0364	0,4590
0,97	0,0343	0,0364	0,4690
0,98	0,0350	0,0365	0,4800
0,99	0,0357	0,0365	0,4900
1,00	0,0365	0,0365	0,5000
1,01	0,0372	0,0365	0,5100
1,02	0,0379	0,0365	0,5200
1,03	0,0387	0,0364	0,5290
1,04	0,0394	0,0364	0,5390
1,05	0,0401	0,0364	0,5490
1,06	0,0409	0,0364	0,5580
1,07	0,0416	0,0364	0,5670
1,08	0,0424	0,0363	0,5760
1,09	0,0431	0,0363	0,5850
1,10	0,0439	0,0363	0,5940
1,11	0,0446	0,0362	0,6030
1,12	0,0454	0,0362	0,6110
1,13	0,0461	0,0361	0,6200
1,14	0,0469	0,0361	0,6280
1,15	0,0476	0,0360	0,6300
1,16	0,0484	0,0360	0,6440
1,17	0,0491	0,0359	0,6520
1,18	0,0499	0,0358	0,6600
1,19	0,0507	0,0358	0,6670
1,20	0,0514	0,0357	0,6750
1,21	0,0521	0,0356	0,6820
1,22	0,0529	0,0356	0,6890
1,23	0,0536	0,0355	0,6960
1,24	0,0544	0,0354	0,7030
1,25	0,0551	0,0353	0,7090
1,26	0,0559	0,0352	0,7160
1,27	0,0566	0,0351	0,7220
1,28	0,0573	0,0350	0,7290
1,29	0,0581	0,0349	0,7350
1,30	0,0588	0,0348	0,7410
1,31	0,0595	0,0347	0,7460
1,32	0,0602	0,0346	0,7520
1,33	0,0609	0,0344	0,7580
1,34	0,0617	0,0343	0,7630
1,35	0,0623	0,0342	0,7690
1,36	0,0630	0,0341	0,7740
1,37	0,0639	0,0339	0,7790
1,38	0,0644	0,0338	0,7840
1,39	0,0650	0,0337	0,7890
1,40	0,0657	0,0335	0,7930
1,41	0,0664	0,0334	0,7980
1,42	0,0671	0,0333	0,8030
1,43	0,0677	0,0331	0,8070
1,44	0,0634	0,0330	0,8110
1,45	0,0690	0,0328	0,8150
1,46	0,0696	0,0327	0,8200
1,47	0,0703	0,0325	0.8240
1,43	0,0709	0,0324	0,8270
1.49	0,0715	0,0322	0,8310
1,50	0,0721	0,0320	0,8350
1,51	0,0727	0,0319	0,8390
1,52	0,0733	0,0317	0,8420
1,53	0,0739	0,0316	0,8460
1,54	0,0745	0,0314	0,8490
1,55	0,0750	0,0312	0,8520
1,56	0,0756	0,0311	0,8550
1,57	0,0762	0,0310	0,8590
1,58	0,0767	0,0307	0,8620
1,59	0,0773	0,0306	0,8650
1,60	0,0778	0,0304	0,8680
1,61	0,0784	0,0302	0,3700
1,62	0,0789	0,0301	0,8730
1,63	0,0794	0,0299	0,8760
1,64	0,0799	0,0297	0,8780
1,65	0,0804	0,0295	0,8810
1,66	0,0809	0,0294	0,8840
1,67	0,0814	0,0292	0,8860
1,68	0,0819	0,0290	0,8880
1,69	0,0824	0,0289	0,8910
1,70	0,0829	0,0287	0,8930
1,71	0,0834	0,0285	0,8950
1,72	0,0838	0,0283	0,8970
1,73	0,0843	0,0282	0,8990
1,74	0,0847	0,0280	0,9020
1,75	0,0852	0,0278	0,9040
1,76	0,0856	0,0276	0,9060
1,77	0,0361	0,0275	0,9070
1,78	0,0365	0,0273	0,9090
1,79	0,0869	0,0271	0,9110
1,80	0,0873	0,0270	0,9130
1,81	0,0877	0,0268	0,9150
1,82	0,0381	0,0266	0,9160
1,83	0,0386	0,0264	0,9180
1,84	0,0839	0.0263	0,9200
1,85	0,0893	0,0261	0,9210
1,86	0,0897	0,0259	0,9230
1,87	0,0901	0,0258	0,9240
1,88	0,0905	0,0256	0,9260
1,89	0,0908	0,0254	0,9270
1,90	0,0912	0,0253	0,9290
1,91	0,0916	0,0251	0,9300
1,92	0,0919	0,0250	0,9310
1,93	0,0923	0,0248	0,9330
1,94	0,0926	0,0246	0,9340
1,95	0,0930	0,0244	0,0350
1,96	0,0933	0,0243	0,9360
1,97	0,0936	0,0241	0,9380
1,98	0,0939	0,0240	0,9390
1,99	0,0943	0,0238	0,9400
2,00	0,0946	0,0237	0,9410